route_name,start_time,end_time,runtime,in/outbound,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
Centre_Place,7:20,7:38,0:18,in,7:32,7:34,7:38,,,,,
Centre_Place,7:20,7:38,0:18,out,7:20,7:28,,,,,,
Centre_Place,7:50,8:08,0:18,in,8:02,8:04,8:08,,,,,
Centre_Place,7:50,8:08,0:18,out,7:50,7:58,,,,,,
Centre_Place,8:20,8:38,0:18,in,8:32,8:34,8:38,,,,,
Centre_Place,8:20,8:38,0:18,out,8:20,8:28,,,,,,
Centre_Place,8:50,9:08,0:18,in,9:02,9:04,9:08,,,,,
Centre_Place,8:50,9:08,0:18,out,8:50,8:58,,,,,,
Centre_Place,9:20,9:38,0:18,in,9:32,9:34,9:38,,,,,
Centre_Place,9:20,9:38,0:18,out,9:20,9:28,,,,,,
Centre_Place,9:50,10:08,0:18,in,10:02,10:04,10:08,,,,,
Centre_Place,9:50,10:08,0:18,out,9:50,9:58,,,,,,
Centre_Place,10:20,10:38,0:18,in,10:32,10:34,10:38,,,,,
Centre_Place,10:20,10:38,0:18,out,10:20,10:28,,,,,,
Centre_Place,10:50,11:08,0:18,in,11:02,11:04,11:08,,,,,
Centre_Place,10:50,11:08,0:18,out,10:50,10:58,,,,,,
Centre_Place,11:20,11:38,0:18,in,11:32,11:34,11:38,,,,,
Centre_Place,11:20,11:38,0:18,out,11:20,11:28,,,,,,
Centre_Place,11:50,12:08,0:18,in,12:02,12:04,12:08,,,,,
Centre_Place,11:50,12:08,0:18,out,11:50,11:58,,,,,,
Centre_Place,12:20,12:38,0:18,in,12:32,12:34,12:38,,,,,
Centre_Place,12:20,12:38,0:18,out,12:20,12:28,,,,,,
Centre_Place,12:50,13:08,0:18,in,1:02,1:04,1:08,,,,,
Centre_Place,12:50,13:08,0:18,out,0:50,0:58,,,,,,
Centre_Place,1:20,1:38,0:18,in,1:32,1:34,1:38,,,,,
Centre_Place,1:20,1:38,0:18,out,1:20,1:28,,,,,,
Centre_Place,1:50,2:08,0:18,in,2:02,2:04,2:08,,,,,
Centre_Place,1:50,2:08,0:18,out,1:50,1:58,,,,,,
Centre_Place,2:20,2:38,0:18,in,2:32,2:34,2:38,,,,,
Centre_Place,2:20,2:38,0:18,out,2:20,2:28,,,,,,
Centre_Place,2:50,3:08,0:18,in,3:02,3:04,3:08,,,,,
Centre_Place,2:50,3:08,0:18,out,2:50,2:58,,,,,,
Centre_Place,3:15,3:33,0:18,in,3:27,3:29,3:33,,,,,
Centre_Place,3:15,3:33,0:18,out,3:15,3:23,,,,,,
Centre_Place,3:45,4:03,0:18,in,3:57,3:59,4:03,,,,,
Centre_Place,3:45,4:03,0:18,out,3:45,3:53,,,,,,
Centre_Place,4:15,4:33,0:18,in,4:27,4:29,4:33,,,,,
Centre_Place,4:15,4:33,0:18,out,4:15,4:23,,,,,,
Centre_Place,4:45,5:03,0:18,in,4:57,4:59,5:03,,,,,
Centre_Place,4:45,5:03,0:18,out,4:45,4:53,,,,,,
Centre_Place,5:15,5:33,0:18,in,5:27,5:29,5:33,,,,,
Centre_Place,5:15,5:33,0:18,out,5:15,5:23,,,,,,
Centre_Place,5:45,6:03,0:18,in,5:57,5:59,6:03,,,,,
Centre_Place,5:45,6:03,0:18,out,5:45,5:53,,,,,,
Discovery_Park,7:36,8:09,0:33,in,7:55,8:03,8:07,8:08,8:09,,,
Discovery_Park,7:36,8:09,0:33,out,7:36,7:40,7:44,,,,,
Discovery_Park,7:56,8:29,0:33,in,8:15,8:23,8:27,8:28,8:29,,,
Discovery_Park,7:56,8:29,0:33,out,7:56,8:00,8:04,,,,,
Discovery_Park,8:16,8:49,0:33,in,8:35,8:43,8:47,8:48,8:49,,,
Discovery_Park,8:16,8:49,0:33,out,8:16,8:20,8:24,,,,,
Discovery_Park,8:36,9:09,0:33,in,8:55,9:03,9:07,9:08,9:09,,,
Discovery_Park,8:36,9:09,0:33,out,8:36,8:40,8:44,,,,,
Discovery_Park,8:56,9:29,0:33,in,9:15,9:23,9:27,9:28,9:29,,,
Discovery_Park,8:56,9:29,0:33,out,8:56,9:00,9:04,,,,,
Discovery_Park,9:16,9:49,0:33,in,9:35,9:43,9:47,9:48,9:49,,,
Discovery_Park,9:16,9:49,0:33,out,9:16,9:20,9:24,,,,,
